account,amount,%,balance,date
nadimhamdan1,5.87,0.00,5.87 HYPHA,2021-10-12T05:52:44.767Z
geschichten1,2.09,0.00,2.09 HYPHA,2021-10-12T05:52:44.764Z
vedadogguija,1.01,0.00,1.01 HYPHA,2021-10-12T05:52:45.465Z
coldstorage1,1,0.00,1.00 HYPHA,2021-10-12T05:52:44.697Z
twakefield14,1,0.00,1.00 HYPHA,2021-10-12T05:52:45.436Z
rory,0.86,0.00,0.86 HYPHA,2021-10-12T05:52:44.755Z
andytheseeds,0.82,0.00,0.82 HYPHA,2021-10-12T05:52:44.731Z
belledemoise,0.28,0.00,0.28 HYPHA,2021-10-12T05:52:44.764Z
apostolseeds,0.02,0.00,0.02 HYPHA,2021-10-12T05:52:44.776Z
pedroteux123,0.01,0.00,0.01 HYPHA,2021-10-12T05:52:44.734Z
faanch1134ac,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.752Z
jcroemer1111,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.723Z
kapishdutta1,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.779Z
michaelmatio,0,0.00,0.00 HYPHA,2021-10-12T05:52:44.766Z
swapx.seeds,0,0.00,0.00 HYPHA,2021-10-12T05:52:45.466Z
