account,amount,%,balance,date
khempoudel12,669.32,0.02,669.32 HYPHA,2021-11-15T05:24:27.084Z
natureboy222,656.4,0.02,656.40 HYPHA,2021-11-15T05:24:27.058Z
radiantseeds,650,0.02,650.00 HYPHA,2021-11-15T05:24:27.054Z
starseedyogi,500,0.02,500.00 HYPHA,2021-11-15T05:24:27.757Z
pedromoscoso,474.57,0.02,474.57 HYPHA,2021-11-15T05:24:27.053Z
cedricseedss,455,0.02,455.00 HYPHA,2021-11-15T05:24:27.098Z
donations.gm,455,0.02,455.00 HYPHA,2021-11-15T05:24:27.094Z
kuntterbunt1,455,0.02,455.00 HYPHA,2021-11-15T05:24:27.008Z
magic1234555,450,0.02,450.00 HYPHA,2021-11-15T05:24:27.068Z
imprvsociety,351.66,0.01,351.66 HYPHA,2021-11-15T05:24:27.099Z
jedipath3335,321.75,0.01,321.75 HYPHA,2021-11-15T05:24:27.085Z
forevergreen,281.25,0.01,281.25 HYPHA,2021-11-15T05:24:27.091Z
earthgym.gm,195,0.01,195.00 HYPHA,2021-11-15T05:24:27.096Z
peterrakj234,177.06,0.01,177.06 HYPHA,2021-11-15T05:24:27.080Z
danigorfest3,144.9,0.00,144.90 HYPHA,2021-11-15T05:24:27.097Z
skyblueearth,116.31,0.00,116.31 HYPHA,2021-11-15T05:24:27.758Z
marcmarcmarc,108.44,0.00,108.44 HYPHA,2021-11-15T05:24:27.087Z
cathk33seeds,107.64,0.00,107.64 HYPHA,2021-11-15T05:24:27.048Z
inhabit4love,104.65,0.00,104.65 HYPHA,2021-11-15T05:24:27.088Z
hyphax.seeds,58.06,0.00,58.06 HYPHA,2021-11-15T05:24:27.054Z
emanwplcl322,35.1,0.00,35.10 HYPHA,2021-11-15T05:24:27.015Z
oumniaabidi1,35.1,0.00,35.10 HYPHA,2021-11-15T05:24:27.092Z
nadimhamdan1,5.87,0.00,5.87 HYPHA,2021-11-15T05:24:27.083Z
geschichten1,2.09,0.00,2.09 HYPHA,2021-11-15T05:24:27.092Z
jcroemer1111,1.99,0.00,1.99 HYPHA,2021-11-15T05:24:27.098Z
vedadogguija,1.01,0.00,1.01 HYPHA,2021-11-15T05:24:27.771Z
coldstorage1,1,0.00,1.00 HYPHA,2021-11-15T05:24:27.080Z
twakefield14,1,0.00,1.00 HYPHA,2021-11-15T05:24:27.745Z
rory,0.86,0.00,0.86 HYPHA,2021-11-15T05:24:27.049Z
andytheseeds,0.82,0.00,0.82 HYPHA,2021-11-15T05:24:27.067Z
belledemoise,0.28,0.00,0.28 HYPHA,2021-11-15T05:24:27.079Z
apostolseeds,0.02,0.00,0.02 HYPHA,2021-11-15T05:24:27.066Z
pedroteux123,0.01,0.00,0.01 HYPHA,2021-11-15T05:24:27.049Z
faanch1134ac,0,0.00,0.00 HYPHA,2021-11-15T05:24:27.073Z
kapishdutta1,0,0.00,0.00 HYPHA,2021-11-15T05:24:27.059Z
michaelmatio,0,0.00,0.00 HYPHA,2021-11-15T05:24:27.075Z
swapx.seeds,0,0.00,0.00 HYPHA,2021-11-15T05:24:27.781Z
