account,amount,%,balance,date
georgetaylor,21000,0.71,21000.00 HYPHA,2022-01-09T14:44:11.712Z
abrancusi123,20875.39,0.71,20875.39 HYPHA,2022-01-09T14:44:11.607Z
clarelaverty,18270.46,0.62,18270.46 HYPHA,2022-01-09T14:44:11.708Z
nahimafzal11,17700,0.60,17700.00 HYPHA,2022-01-09T14:44:11.695Z
juliomonteir,15378.07,0.52,15378.07 HYPHA,2022-01-09T14:44:11.665Z
sonicsphinxy,15204.11,0.52,15204.11 HYPHA,2022-01-09T14:44:13.576Z
alanlaub1111,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:11.621Z
alextrojan43,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:11.609Z
cookieinbali,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:11.626Z
febudfuture1,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:11.647Z
greensurge12,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:11.653Z
iblvnnwwrld1,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:11.695Z
tamsinrose22,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:13.609Z
wearesailing,15000,0.51,15000.00 HYPHA,2022-01-09T14:44:13.597Z
rocklandroad,14300,0.48,14300.00 HYPHA,2022-01-09T14:44:13.584Z
sevenflash42,13533.28,0.46,13533.28 HYPHA,2022-01-09T14:44:13.579Z
sanjayrajan1,13328.19,0.45,13328.19 HYPHA,2022-01-09T14:44:13.579Z
theremotecub,13012.67,0.44,13012.67 HYPHA,2022-01-09T14:44:13.608Z
gradinagruiu,9657.64,0.33,9657.64 HYPHA,2022-01-09T14:44:11.649Z
evgeiobrn243,9390.59,0.32,9390.59 HYPHA,2022-01-09T14:44:11.704Z
totohmshanti,8821.57,0.30,8821.57 HYPHA,2022-01-09T14:44:13.603Z
gregory.tk,8713.42,0.30,8713.42 HYPHA,2022-01-09T14:44:11.689Z
c1or1dons115,8665,0.29,8665.00 HYPHA,2022-01-09T14:44:11.645Z
solomonx3333,8229.66,0.28,8229.66 HYPHA,2022-01-09T14:44:13.587Z
leonieherma1,8034.97,0.27,8034.97 HYPHA,2022-01-09T14:44:11.664Z
westonshanec,8000,0.27,8000.00 HYPHA,2022-01-09T14:44:13.594Z
dao.hypha,7722.55,0.26,7722.55 HYPHA,2022-01-09T14:44:11.662Z
jasondoh1155,7587.21,0.26,7587.21 HYPHA,2022-01-09T14:44:11.689Z
nicktucker11,7255.25,0.25,7255.25 HYPHA,2022-01-09T14:44:11.703Z
aleksandardj,6572.62,0.22,6572.62 HYPHA,2022-01-09T14:44:11.712Z
zerowastebcn,6500,0.22,6500.00 HYPHA,2022-01-09T14:44:13.597Z
dbeverywhere,6203.59,0.21,6203.59 HYPHA,2022-01-09T14:44:11.650Z
anneloes3313,5405.99,0.18,5405.99 HYPHA,2022-01-09T14:44:11.709Z
sienaraa3535,5160.79,0.17,5160.79 HYPHA,2022-01-09T14:44:13.556Z
azarltfpa455,4950,0.17,4950.00 HYPHA,2022-01-09T14:44:11.671Z
stephengomes,4687.5,0.16,4687.50 HYPHA,2022-01-09T14:44:13.579Z
jasonrswamy1,4605.71,0.16,4605.71 HYPHA,2022-01-09T14:44:11.622Z
hyphax.seeds,4417.32,0.15,4417.32 HYPHA,2022-01-09T14:44:11.711Z
lukegravdent,4274.62,0.14,4274.62 HYPHA,2022-01-09T14:44:11.701Z
kimmarsh1111,3518.53,0.12,3518.53 HYPHA,2022-01-09T14:44:11.698Z
rainskyarel5,3275.43,0.11,3275.43 HYPHA,2022-01-09T14:44:13.586Z
stephenreid1,3104,0.11,3104.00 HYPHA,2022-01-09T14:44:13.603Z
carleymonty1,3081.82,0.10,3081.82 HYPHA,2022-01-09T14:44:11.653Z
lukskywalker,2777.75,0.09,2777.75 HYPHA,2022-01-09T14:44:11.701Z
gguijarro123,2691.71,0.09,2691.71 HYPHA,2022-01-09T14:44:12.645Z
seedsofheart,2545.9,0.09,2545.90 HYPHA,2022-01-09T14:44:13.599Z
adafriedrich,2534.52,0.09,2534.52 HYPHA,2022-01-09T14:44:11.643Z
sanjeevsingh,2525,0.09,2525.00 HYPHA,2022-01-09T14:44:13.577Z
atmalife2312,2316.75,0.08,2316.75 HYPHA,2022-01-09T14:44:11.610Z
martinaepple,2171.2,0.07,2171.20 HYPHA,2022-01-09T14:44:11.691Z
takayaren555,2139.44,0.07,2139.44 HYPHA,2022-01-09T14:44:13.564Z
matteotangi1,2037.5,0.07,2037.50 HYPHA,2022-01-09T14:44:11.702Z
dstudioproto,1949.2,0.07,1949.20 HYPHA,2022-01-09T14:44:11.703Z
christelos55,1904.45,0.06,1904.45 HYPHA,2022-01-09T14:44:11.702Z
virtuousloop,1896.32,0.06,1896.32 HYPHA,2022-01-09T14:44:13.603Z
scientisttop,1817,0.06,1817.00 HYPHA,2022-01-09T14:44:13.559Z
massimohypha,1743.71,0.06,1743.71 HYPHA,2022-01-09T14:44:11.641Z
ronscroggin1,1619.07,0.05,1619.07 HYPHA,2022-01-09T14:44:13.578Z
natajuvbr125,1488.25,0.05,1488.25 HYPHA,2022-01-09T14:44:11.709Z
gerard5ph321,1323.66,0.04,1323.66 HYPHA,2022-01-09T14:44:11.618Z
rpiesveloces,1282.9,0.04,1282.90 HYPHA,2022-01-09T14:44:13.597Z
ugxxqvybh233,1105.23,0.04,1105.23 HYPHA,2022-01-09T14:44:13.598Z
pmdwithseeds,1097.41,0.04,1097.41 HYPHA,2022-01-09T14:44:11.699Z
denistoledoo,1085.08,0.04,1085.08 HYPHA,2022-01-09T14:44:11.697Z
khempoudel12,992.32,0.03,992.32 HYPHA,2022-01-09T14:44:11.647Z
minosdoros55,889.84,0.03,889.84 HYPHA,2022-01-09T14:44:11.701Z
pedromoscoso,865.45,0.03,865.45 HYPHA,2022-01-09T14:44:11.690Z
etherweaver1,811.2,0.03,811.20 HYPHA,2022-01-09T14:44:11.643Z
leoslaagr421,810,0.03,810.00 HYPHA,2022-01-09T14:44:11.699Z
natureboy222,656.4,0.02,656.40 HYPHA,2022-01-09T14:44:11.649Z
radiantseeds,650,0.02,650.00 HYPHA,2022-01-09T14:44:13.554Z
forevergreen,606.69,0.02,606.69 HYPHA,2022-01-09T14:44:11.711Z
imprvsociety,587.66,0.02,587.66 HYPHA,2022-01-09T14:44:11.655Z
starseedyogi,500,0.02,500.00 HYPHA,2022-01-09T14:44:13.572Z
skyblueearth,465.17,0.02,465.17 HYPHA,2022-01-09T14:44:13.555Z
cedricseedss,455,0.02,455.00 HYPHA,2022-01-09T14:44:11.646Z
donations.gm,455,0.02,455.00 HYPHA,2022-01-09T14:44:11.665Z
kuntterbunt1,455,0.02,455.00 HYPHA,2022-01-09T14:44:12.561Z
magic1234555,450,0.02,450.00 HYPHA,2022-01-09T14:44:11.700Z
romboxen1234,379.86,0.01,379.86 HYPHA,2022-01-09T14:44:13.588Z
freedomcell1,325.14,0.01,325.14 HYPHA,2022-01-09T14:44:11.648Z
jedipath3335,321.75,0.01,321.75 HYPHA,2022-01-09T14:44:11.700Z
earthgym.gm,195,0.01,195.00 HYPHA,2022-01-09T14:44:11.627Z
peterrakj234,177.06,0.01,177.06 HYPHA,2022-01-09T14:44:11.653Z
danigorfest3,144.9,0.00,144.90 HYPHA,2022-01-09T14:44:11.702Z
marcmarcmarc,108.44,0.00,108.44 HYPHA,2022-01-09T14:44:12.344Z
cathk33seeds,107.64,0.00,107.64 HYPHA,2022-01-09T14:44:11.666Z
inhabit4love,104.65,0.00,104.65 HYPHA,2022-01-09T14:44:11.704Z
hanssprungli,42.69,0.00,42.69 HYPHA,2022-01-09T14:44:11.968Z
emanwplcl322,35.1,0.00,35.10 HYPHA,2022-01-09T14:44:11.671Z
oumniaabidi1,35.1,0.00,35.10 HYPHA,2022-01-09T14:44:11.646Z
stephend1111,15.4,0.00,15.40 HYPHA,2022-01-09T14:44:13.590Z
nadimhamdan1,5.87,0.00,5.87 HYPHA,2022-01-09T14:44:11.670Z
bigorna12345,5.82,0.00,5.82 HYPHA,2022-01-09T14:44:11.704Z
originalogos,5.09,0.00,5.09 HYPHA,2022-01-09T14:44:11.672Z
geschichten1,2.09,0.00,2.09 HYPHA,2022-01-09T14:44:11.698Z
jcroemer1111,1.99,0.00,1.99 HYPHA,2022-01-09T14:44:12.634Z
dversityclub,1.01,0.00,1.01 HYPHA,2022-01-09T14:44:11.671Z
vedadogguija,1.01,0.00,1.01 HYPHA,2022-01-09T14:44:13.621Z
coldstorage1,1,0.00,1.00 HYPHA,2022-01-09T14:44:11.713Z
twakefield14,1,0.00,1.00 HYPHA,2022-01-09T14:44:13.618Z
rory,0.86,0.00,0.86 HYPHA,2022-01-09T14:44:13.562Z
andytheseeds,0.82,0.00,0.82 HYPHA,2022-01-09T14:44:11.697Z
belledemoise,0.28,0.00,0.28 HYPHA,2022-01-09T14:44:11.610Z
apostolseeds,0.02,0.00,0.02 HYPHA,2022-01-09T14:44:11.701Z
pedroteux123,0.01,0.00,0.01 HYPHA,2022-01-09T14:44:11.650Z
faanch1134ac,0,0.00,0.00 HYPHA,2022-01-09T14:44:11.700Z
kapishdutta1,0,0.00,0.00 HYPHA,2022-01-09T14:44:11.663Z
michaelmatio,0,0.00,0.00 HYPHA,2022-01-09T14:44:12.348Z
swapx.seeds,0,0.00,0.00 HYPHA,2022-01-09T14:44:13.599Z
